Product Name;SKU;Category;Price (€);Stock;Description
Apple Keyboard and Trackpad;;to create;;;
Dia 19.3: 7:00 a 20:30 12,5h 2,5;;services;;;
CT and diff. light Filters kit;;to create;;;
Soportados;;admin;;;
Dia 18.3: 7:00 a 20:00 13h -  2 extra;;services;;;
Anulación factura 22/0046;;ignore;;;
ALQ OBJETIVO;;add to sigma 24-70;;;
Digitech Kit Location with Mule Cart;;to create;;;
Canon RF 24 - 70mm/2.8L IS USM;;ignore;;;
Keyboard tray;;to create;;;
Overnight in bcn 11/7/24;;expenses;;;
Photek sof lighter incl. diff;;ignore;;;
Lastolite Grip Knuckles;;ignore;;;
Light Op. for Helena Rubinstein By Ben Hasset;;services;;;
Model with Bag Picture;;ignore;;;
Alquiler Equipo digital y cámara estudio;;services;;;
4-6-8 Points Stars - Fillters Kit K&F;;to create;;;
Disco SSD 4Tb;;expenses;;;
Model with bag;;services;;;
Birkenstock BCN 1ª semana;;ignore;;;
DIGI------------------>;;ignore;;;
Canon RF 70-200mm;;ignore;;;
Profoto Cristal Protecccion Roto;;expenses;;;
Tarifa Diaria fotógrafo, incluyendo un año  de cesión de derechos de explotación, a nivel mundial, de las imágenes entregadas a partir de la fecha de entrega de esta factura;;services;;;
Food at Marco Polo Airport 19/09/2025;;expenses;;;
alquiler espacio de trabajo;;services;;;
Hdmi + power loom 10m;;to create;;;
70-200 for canon 5d mark IV;;ignore;;;
Martes: 6:30 a 19:00 12,5 total 1,5h extra;;services;;;
Studio Rent;;services;;;
ecom retouch and color aplying;;services;;;
Gasolina vlc-bilbao-vlc;;expenses;;;
Model Pictures;;services;;;
Wind up;;ignore;;;
U1ST campaña studio;;services;;;
SONIA SABNANI- OCTOBER;;admin;;;
Fuji GFX 50s II;;ignore;;;
alquiler kit flash 23-feb-2025;;add to profot b1 kit;;;
Tether lock;;to create;;;
"""B1 kit  -2x Profoto B1 -2x Batteries -Fast Charger""";;add to profot b1 kit;;;
Birkenstock BCN 2ª semana;;expenses;;;
Kit Studio;;to create;;;
Tren Vlc-Bcn;;expenses;;;
Polaroids for Paco Rabanne Vips;;expenses;;;
Pie Polyboard 5 y 3 cm;;to create;;;
"Cinta gaffer 2""";;to create;;;
Sun lotion;;expenses;;;
Alquiler equipo digital exteriores;;to create;;;
Tren Gir-Bcn;;expenses;;;
Tela 6x6m china silk Full;;ignore;;;
Color adjustment from scans without retouch;;services;;;
Snacks and drinks;;expenses;;;
High End Image retouch With Color Grading;;services;;;
Floppy Flag;;to create;;;
Filter kit Black mist 1/4 and 1/8;;to create;;;
Fruit Props and ice;;expenses;;;
2x Profoto Prohead plus;;ignore;;;
Alquiler Equipo Fotográfico;;to create;;;
iPad Pro 12,9;;add to ipad m1;;;
Dietas;;expenses;;;
Molton 1,5x1,5m;;to create;;;
Gasolina vlc-calp 120km. And return (240km);;expenses;;;
Soportados -  Uber out;;expenses;;;
Sesión fotos Makeup 25/08/2024;;services;;;
LH23.128_TOUS CACHITO MÍO;;ignore;;;
food 28/5/2024;;expenses;;;
LYDIA'S KIT----------------------------------------;;ignore;;;
Color grading;;services;;;
Porta Poly F1521;;to create;;;
CH Beauty BCN;;services;;;
Extra High end retouch;;services;;;
Fujifilm Fujinon GF 80mm f1.7 R WR Lens;;expenses;;;
CONSUMABLES;;expenses;;;
comida aerop. b.king 21.3;;expenses;;;
Gasoil;;expenses;;;
Ecom Bag replacement;;services;;;
Camera Prisms Kit;;to create;;;
Highway;;expenses;;;
"PHOTEK SOFTLIGHTER 46"" - 115 + DIFUSOR";;expenses;;;
m2;;ignore;;;
4x Anker 27000mah 250w battery;;to create;;;
Dia 20.3: 7:00 s 21:00 14h 3;;services;;;
Canon EOS R5 II Mirrorless;;expenses;;;
Mileage;;expenses;;;
Alquiler Mayo;;services;;;
CH-DUBAI-012023;;services;;;
Framed Mirror 120cm;;expenses;;;
Sunswatter Big + 1/3 diff silk;;expenses;;;
Lastolite 0,75 Diffusion fabric;;to create;;;
Sun Lotion Malibu;;expenses;;;
Polyboard B/W;;to create;;;
Poly Board 1,2x1,2m White/Silver;;to create;;;
High End Image retouch Withouth Color Grading;;services;;;
Ed. Fridha Kahlo Valencia - x Jonathan Segade;;services;;;
Travel expenses VLC-BCN and Back;;expenses;;;
Gasoil VLC-BCN-VLC (720 km.);;expenses;;;
Air TTL- N;;to create;;;
California Sunswatter Big kit with 1/3, 2/3 & 3/3;;expenses;;;
Canon RF 100mm macro;;expenses;;;
"Postproducción fotográfica ""Equipo Crónica: arte de trinchera""";;ignore;;;
DTO. PRONTO PAGO;;services;;;
NIKE FEB VLC;;services;;;
Bags packshot;;services;;;
2x Floppies;;expenses;;;
Lastolite 2x2m kit;;to create;;;
Sunswatter big 2/3 diff silk;;expenses;;;
24-70 sigma Art Nikon;;add to sigma art 24-70;;;
Alquiler Furgoneta Minibus;;expenses;;;
Tren Gir-Flaçà;;expenses;;;
Digitech pack for CH by David Gomez;;services;;;
Suplidos;;services;;;
Ai+retouch Hero Image;;services;;;
Kit Editorial Basic;;to create;;;
3x4m Black Molton;;to create;;;
ALQ IPAD LLUMM ARENA;;add to ipad m1;;;
Sucko 16A 25m.;;add to Sucko 25m. extension;;;
Estilista:;;ignore;;;
Molton 2x2;;to create;;;
LIGHT------------------>;;ignore;;;
Tren Flaçà-Gir;;expenses;;;
Renfe ida y vuelta Vlc-Bcn;;expenses;;;
Projet : birkenstock;;ignore;;;
Food at Airport Barajas 16/09/2025;;expenses;;;
Comida Jueves;;expenses;;;
Tren Bcn-Gir;;expenses;;;
pelicula Fra. Fotopro VC600534;;ignore;;;
Kit exteriores;;to create;;;
2x Tether extension cord;;add to 2x tether cable usbc to usbc;;;
Bmw pachi;;ignore;;;
Mathews Medium Roller;;expenses;;;
Eizo CG248 K N2 kit with 10m hdmi+usb+power + vesa mount;;to create;;;
ARENA - GANDIA;;ignore;;;
Desayuno dia 19;;expenses;;;
3x umbrella/soft boxes kit;;to create;;;
Compra Fondos;;expenses;;;
Pelicula Carmencita;;expenses;;;
Suplidos - mensajeria;;ignore;;;
PO: 4500129744;;ignore;;;
ADDITIONAL COMERCIAL SHOT;;ignore;;;
embarque ryanair;;expenses;;;
Over Time;;services;;;
Diffusion silk for 2mx2m frame 1/4;;to create;;;
coffe airport Athens 31/5/2024;;expenses;;;
Ecoflow tray with superclamp;;to create;;;
Fujifilm Fujinon GF 32-64mm F4 R LM WR;;expenses;;;
Canon RF 70 - 200mm/2.8L IS USM;;expenses;;;
SSD 1Tb;;expenses;;;
CONSUMABLES ---------------------------------;;ignore;;;
Alquiler Furgoneta de c arga Mediana 500km;;expenses;;;
High end retouch and color adjustment. Per image.;;services;;;
Bcn - Vlc;;expenses;;;
OT;;services;;;
M2 for retouching;;add to macbook m2;;;
1x Tetherlock;;add to fotofortress tetherlock ;;;
Bags Packshot;;services;;;
Comida dia 28;;expenses;;;
LUNCH;;expenses;;;
Canon RF 15-35mm;;expenses;;;
ipad M4 nanotexturized screen 1tb;;add to ipad m4;;;
Dior-Vogue Arabia - Ben Hassett - 9/1/23;;services;;;
Digi kit exteriores;;to create;;;
Beauty Retouch;;services;;;
desayuno dia 26;;expenses;;;
Manfrotto Skylite frame 2mx2m;;add to Lastolite Skylite Large Kit 200 x 200 cm / 6,6 x 6,6';;;
1x 1TB SSD T7;;expenses;;;
Soportados - Uber in;;expenses;;;
2x Tethering kit;;add to 2x tether cable usbc to usbc;;;
Perdiem;;expenses;;;
GoPro Max (360º);;expenses;;;
Assorted gels;;expenses;;;
California Sunswatter Big Kit 1/3, 2/3, 3/3;;expenses;;;
renovacion anual derechos de imagenes cedidas;;services;;;
Profoto b3 Kit with head and batteries;;add to profoto b30 duo kit;;;
Edito David;;services;;;
NUMERO-NETHERLADS-ALICANTE;;services;;;
Kit Location Max;;to create;;;
Model pictures;;services;;;
E200 Spigot adapter 16-29mm;;to create;;;