Service/Fee Name;Type;Hours;Date;Rate (€/hr);Total (€);Status;Notes
SESION DE FOTOS PARA REDES SOCIALES DE LA AGENCIA TROPICAL Y BOOK DE DOS MODELOS;Fee;;;;;Pending;
Ot. Monday 8-21:00 (2 extra);Fee;;;;;Pending;
Ot day 2 - 6:15 - 19:15;Fee;;;;;Pending;
OT VIERNES 13-2  6:00 - 21:00 15h 4h extra;Fee;;;;;Pending;
OT @ 10h Day 1 - 2h 7:30 a 19:30 Day 2 - 1h 7:30 to’18:30  Total 3h;Fee;;;;;Pending;
OT Friday 8:00-22:00 (14h) 3h OT travel;Fee;;;;;Pending;
Light Director Fee;Fee;;;;;Pending;
Fee PhotoAsist;Fee;;;;;Pending;
OT day 19th 8:00 - 21:00;Fee;;;;;Pending;
OT day 20th 8:00 - 23:00;Fee;;;;;Pending;
OT dia 18/7 DE 6:20 A 20:30 (14 horas) 3 extra;Fee;;;;;Pending;
Fee editorial;Fee;;;;;Pending;
Fee Photo Asist Jonathan 6 febrero 2025;Fee;;;;;Pending;
SHOOTING ACCESS FW23;Fee;;;;;Pending;
Photo Shooting;Fee;;;;;Pending;
OT Day 1 - 7:45 - 21:00 13h;Fee;;;;;Pending;
Edito Vogue Spain in Normandie 3-7-2024 -  fee + equip;Fee;;;;;Pending;
OT day 1 -  6:30-20:00 (13,5h) -  10+1;Fee;;;;;Pending;
OT dia 16/7 6:40 a 20:30 (14 horas) 3 extra;Fee;;;;;Pending;
Ot. wednesday 7:30-21:00(2.5);Fee;;;;;Pending;
Fee Photo Asist;Fee;;;;;Pending;
Fee photo Asist;Fee;;;;;Pending;
Digitech fee;Fee;;;;;Pending;
Editorial Fee;Fee;;;;;Pending;
OT 4/4/24 7:00 a 20:30= 2,5h;Fee;;;;;Pending;
Fee Photoasist.;Fee;;;;;Pending;
Digitech Fee;Fee;;;;;Pending;
Light Director Fee For Lacoste in Barcelona 6-7 Nov. 2025;Fee;;;;;Pending;
Edito Vogue fee;Fee;;;;;Pending;
OT - 11:00 until 0:00 ( Total 13h. 2 extra);Fee;;;;;Pending;
OT day 2. -  7:00-20:30 (13,5h) -  10+1;Fee;;;;;Pending;
4h. OT (1 Free of charge);Fee;;;;;Pending;
Material Check fee;Fee;;;;;Pending;
Digi fee;Fee;;;;;Pending;
Fee digitech;Fee;;;;;Pending;
Fee photo-asist;Fee;;;;;Pending;
Horas lunes 7:30 - 9:30 14h total 3h extra;Fee;;;;;Pending;
Ot day 1 - 6:00-19:00;Fee;;;;;Pending;
Fee;Fee;;;;;Pending;
OT Thursday 12.12 =  7:30 - 21:30 (14h);Fee;;;;;Pending;
OT dia 17/7 6:30 a 20:00  (13,5) 2,5 extra;Fee;;;;;Pending;
Total Services: 46 | Overtime detected: 0 | Regular: 46;Fee;;;;;Pending;